version,decade,correct,incorrect,accuracy,lower,upper
v99.99.99,1870,30,0,1.0,0.9078859400526763,0.998346745733359
v99.99.99,1880,30,0,1.0,0.9078859400526763,0.998346745733359
v99.99.99,1890,27,3,0.9,0.7684970248566316,0.9546998269773581
v99.99.99,1900,28,2,0.9333333333333333,0.8105355325744613,0.9730998803088509
v99.99.99,1910,25,5,0.8333333333333334,0.690356484642353,0.9121855328567512
v99.99.99,1920,27,2,0.9310344827586207,0.804673956345074,0.9721844502602504
v99.99.99,1930,28,2,0.9333333333333333,0.8105355325744613,0.9730998803088509
v99.99.99,1940,30,0,1.0,0.9078859400526763,0.998346745733359
v99.99.99,1950,29,1,0.9666666666666667,0.8559096086816552,0.9884146841385564
v99.99.99,1960,29,1,0.9666666666666667,0.8559096086816552,0.9884146841385564
v99.99.99,1970,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1990,27,1,0.9642857142857143,0.8466079754738173,0.9876064686738686
v99.99.99,2000,30,1,0.967741935483871,0.860150539725774,0.9887805056361199
v99.99.99,2010,27,3,0.9,0.7684970248566316,0.9546998269773581
v99.99.99,2020,26,3,0.896551724137931,0.761402142706749,0.9531451730853993
